user_id,order_id,product_id,order_date,return_date,return_reason,image_uploaded,return_message_sentiment,user_return_count,return_approval_time,return_outcome,is_abuse,return_message_sentiment_norm,user_return_count_norm
U00103,O000000,P02881,2023-05-17,2023-05-27,wrong color,0,-0.35,0,11,manual review,0,0.325,0.0
U00436,O000001,P02188,2023-09-04,2023-09-13,poor quality,0,0.99,1,13,approved,0,0.995,0.1111111111111111
U00861,O000002,P04888,2023-02-14,2023-02-24,item damaged during delivery,1,-0.13,2,14,approved,0,0.435,0.2222222222222222
U00271,O000003,P00546,2023-05-26,2023-06-02,received late,1,0.37,1,4,approved,0,0.685,0.1111111111111111
U00107,O000004,P01928,2023-06-25,2023-07-09,unwanted gift,0,0.5,0,14,approved,0,0.75,0.0
U00072,O000005,P04153,2023-02-11,2023-02-18,wrong color,1,-0.19,2,4,approved,0,0.405,0.2222222222222222
U00701,O000006,P00005,2023-10-24,2023-11-05,wrong item delivered,1,0.46,1,11,approved,0,0.73,0.1111111111111111
U00021,O000007,P03482,2023-03-30,2023-04-10,not satisfied with the product,0,0.52,2,3,approved,0,0.76,0.2222222222222222
U00615,O000008,P03254,2023-08-06,2023-08-07,product not as described,1,0.39,1,13,approved,0,0.6950000000000001,0.1111111111111111
U00122,O000009,P01363,2023-08-16,2023-08-27,wrong color,1,-0.26,1,9,approved,0,0.37,0.1111111111111111
U00467,O000010,P01821,2023-10-25,2023-10-30,wrong item delivered,1,-0.72,1,11,rejected,1,0.14,0.1111111111111111
U00215,O000011,P02664,2023-10-18,2023-10-21,poor quality,0,1.0,4,0,approved,0,1.0,0.4444444444444444
U00331,O000012,P02939,2023-03-08,2023-03-11,changed mind,1,-0.15,3,9,approved,0,0.425,0.3333333333333333
U00459,O000013,P01274,2023-09-08,2023-09-14,product not as described,0,0.5,0,6,approved,0,0.75,0.0
U00088,O000014,P03327,2023-02-10,2023-02-14,wrong item delivered,1,-0.23,1,2,approved,0,0.385,0.1111111111111111
U00373,O000015,P03660,2023-04-09,2023-04-17,duplicate order,0,1.0,3,14,approved,0,1.0,0.3333333333333333
U00100,O000016,P02946,2023-11-02,2023-11-16,not satisfied with the product,0,-0.25,2,4,approved,0,0.375,0.2222222222222222
U00872,O000017,P03019,2023-12-26,2023-12-30,changed mind,1,0.05,2,12,approved,0,0.525,0.2222222222222222
U00664,O000018,P01132,2023-12-08,2023-12-16,defective product,1,1.0,4,12,approved,0,1.0,0.4444444444444444
U00131,O000019,P04764,2023-03-20,2023-04-03,wrong item delivered,1,-0.8,0,7,rejected,1,0.09999999999999998,0.0
U00662,O000020,P02637,2023-10-28,2023-11-09,changed mind,1,0.6,3,1,approved,0,0.8,0.3333333333333333
U00309,O000021,P03030,2023-07-18,2023-07-30,defective product,1,-0.01,1,3,approved,0,0.495,0.1111111111111111
U00770,O000022,P03020,2023-05-27,2023-05-31,duplicate order,0,0.35,2,8,approved,0,0.675,0.2222222222222222
U00344,O000023,P04378,2023-04-16,2023-04-19,accidental purchase,1,-0.17,7,10,approved,0,0.415,0.7777777777777778
U00492,O000024,P03160,2023-07-12,2023-07-17,wrong color,1,0.82,2,12,approved,0,0.9099999999999999,0.2222222222222222
U00414,O000025,P00254,2023-05-02,2023-05-14,product not as described,1,-0.41,3,14,manual review,0,0.29500000000000004,0.3333333333333333
